               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080497,            0.029125,            0.033417,            0.090597,             0.13258,            0.053336,           0.0093118,            0.044726,            0.014083,             0.02166,           0.0033105,           0.0033105,            0.070205
                   1,             0.06346,            0.029816,            0.029479,             0.41739,             0.07197,             0.04906,            0.011442,            0.041838,             0.01246,             0.01922,           0.0064246,           0.0064246,            0.039986
                   2,             0.05846,            0.028342,            0.028488,             0.19503,             0.46591,             0.24246,            0.079168,            0.044692,            0.011143,            0.018069,           0.0093187,           0.0093187,            0.009547
                   3,             0.05667,            0.027111,            0.027744,            0.077076,             0.49621,             0.08772,            0.020106,            0.039984,            0.012061,            0.020785,             0.00901,             0.00901,             0.00901
                   4,             0.05256,            0.027154,            0.026003,             0.25448,             0.45076,             0.34337,            0.095824,            0.031392,            0.011388,              0.0136,             0.00901,             0.00901,             0.00901
                   5,            0.050768,            0.025239,            0.022542,             0.46326,             0.53788,              0.4464,             0.20541,            0.030461,            0.010822,           0.0080974,             0.00868,             0.00868,             0.00868
                   6,            0.049598,            0.025601,            0.020557,             0.48541,             0.40762,             0.43994,               0.129,             0.03645,            0.010963,            0.012824,             0.00835,             0.00835,             0.00835
                   7,             0.04857,            0.025647,             0.02045,               0.205,             0.32765,             0.23012,            0.095162,            0.033489,            0.011946,            0.015519,             0.00802,             0.00802,             0.00802
                   8,            0.046192,            0.024764,            0.019239,             0.40791,             0.47159,             0.44686,             0.18713,            0.026995,            0.011053,            0.014297,             0.00769,             0.00769,             0.00769
                   9,            0.046778,            0.024347,            0.019078,             0.39723,             0.29167,             0.33194,            0.096422,            0.037995,            0.011234,             0.01422,             0.00736,             0.00736,             0.00736
                  10,             0.04549,            0.024881,            0.017033,             0.19986,             0.31283,              0.2152,            0.067266,            0.036322,            0.011935,            0.019341,             0.00703,             0.00703,             0.00703
                  11,            0.043689,            0.024328,             0.01525,             0.49976,             0.41737,             0.44194,             0.10715,            0.036883,            0.012763,            0.013367,              0.0067,              0.0067,              0.0067
                  12,            0.041957,            0.024192,            0.014793,             0.42471,             0.61742,             0.48371,              0.2281,            0.032465,            0.010425,            0.016457,             0.00637,             0.00637,             0.00637
                  13,            0.043313,            0.023749,            0.014784,             0.45583,             0.67235,             0.54125,             0.22954,            0.025467,            0.010541,            0.010375,             0.00604,             0.00604,             0.00604
                  14,            0.041598,            0.024005,            0.013255,             0.41038,              0.3766,             0.34048,             0.11713,            0.054194,            0.012192,            0.012234,             0.00571,             0.00571,             0.00571
                  15,            0.040787,            0.023782,            0.014629,             0.51946,             0.56598,             0.55048,             0.18852,            0.030488,            0.011457,           0.0087521,             0.00538,             0.00538,             0.00538
                  16,            0.040835,            0.023909,            0.013538,             0.48307,             0.62039,             0.53992,             0.23052,            0.028048,            0.010521,            0.016722,             0.00505,             0.00505,             0.00505
                  17,            0.038775,            0.022307,            0.012615,             0.71066,             0.55071,             0.58754,             0.23982,            0.030939,            0.010842,           0.0076038,             0.00472,             0.00472,             0.00472
                  18,            0.038089,            0.022786,             0.01255,              0.6183,             0.70876,             0.65196,             0.28455,            0.027185,              0.0106,            0.010707,             0.00439,             0.00439,             0.00439
                  19,            0.037067,            0.022457,            0.011109,             0.65399,             0.67663,             0.58109,             0.23649,            0.027348,            0.010262,           0.0056659,             0.00406,             0.00406,             0.00406
                  20,            0.037814,            0.022035,            0.012581,             0.69535,             0.59585,             0.61434,             0.24487,            0.027712,            0.010178,           0.0097946,             0.00373,             0.00373,             0.00373
                  21,            0.036787,            0.022356,             0.01124,             0.48497,             0.69455,             0.60385,             0.23884,            0.029303,             0.01047,           0.0052592,              0.0034,              0.0034,              0.0034
                  22,            0.035651,            0.021329,            0.010797,             0.73624,             0.48273,             0.50972,             0.18496,            0.031242,            0.011214,           0.0088744,             0.00307,             0.00307,             0.00307
                  23,            0.035989,            0.021063,            0.010841,             0.70235,             0.57955,             0.64207,             0.25694,            0.026781,            0.010452,           0.0066275,             0.00274,             0.00274,             0.00274
                  24,            0.034417,            0.021282,            0.009909,             0.65408,             0.55492,             0.60353,             0.27533,            0.026294,            0.010361,           0.0077355,             0.00241,             0.00241,             0.00241
                  25,             0.03349,            0.020949,           0.0085823,              0.6157,             0.66667,             0.59272,             0.26932,            0.026844,            0.010062,           0.0073984,             0.00208,             0.00208,             0.00208
                  26,            0.032656,            0.020874,           0.0090733,             0.67804,             0.54924,             0.63909,             0.27695,            0.027914,            0.010126,           0.0067589,             0.00175,             0.00175,             0.00175
                  27,            0.033442,            0.020744,           0.0089093,             0.62212,             0.63253,             0.60053,              0.2556,            0.026305,           0.0098903,             0.00641,             0.00142,             0.00142,             0.00142
                  28,            0.031543,            0.019954,           0.0084988,             0.48301,             0.64583,             0.61905,             0.26882,            0.027454,            0.010459,           0.0058706,             0.00109,             0.00109,             0.00109
                  29,            0.031571,            0.020464,           0.0079386,             0.78852,             0.56587,             0.68739,             0.27898,             0.02787,            0.010597,           0.0058004,             0.00076,             0.00076,             0.00076
